utterance_id,text,label,split,Dialogue_ID,Utterance_ID,audio_path,video_embedding_path,state_path,has_text,has_audio,has_video,state_source
d1_u5,"All right, well...",neutral,train,1,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia1_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia1_utt5.npy,data/processed/MELD_state_embeddings_fixed\d1_u5.npy,True,True,False,text_audio
d1_u8,"Yeah, sure!",neutral,train,1,8,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia1_utt8.wav,data\processed\MELD_video_embeddings_arcface\train\dia1_utt8.npy,data/processed/MELD_state_embeddings_fixed\d1_u8.npy,True,True,False,text_audio
d2_u0,"Hey, Mon.",neutral,train,2,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt0.npy,data/processed/MELD_state_embeddings_fixed\d2_u0.npy,True,True,False,text_audio
d2_u1,Hey-hey-hey. You wanna hear something that sucks.,neutral,train,2,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt1.npy,data/processed/MELD_state_embeddings_fixed\d2_u1.npy,True,True,False,text_audio
d2_u2,Do I ever.,happy,train,2,2,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt2.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt2.npy,data/processed/MELD_state_embeddings_fixed\d2_u2.npy,True,True,False,text_audio
d2_u3,Chris says they’re closing down the bar.,sad,train,2,3,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt3.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt3.npy,data/processed/MELD_state_embeddings_fixed\d2_u3.npy,True,True,False,text_audio
d2_u5,"Yeah, apparently they’re turning it into some kinda coffee place.",neutral,train,2,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt5.npy,data/processed/MELD_state_embeddings_fixed\d2_u5.npy,True,True,False,text_audio
d2_u7,Got me.,sad,train,2,7,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt7.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt7.npy,data/processed/MELD_state_embeddings_fixed\d2_u7.npy,True,True,False,text_audio
d2_u8,Can I get a beer.,neutral,train,2,8,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt8.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt8.npy,data/processed/MELD_state_embeddings_fixed\d2_u8.npy,True,True,False,text_audio
d2_u9,"Hey, did you pick a roommate?",neutral,train,2,9,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt9.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt9.npy,data/processed/MELD_state_embeddings_fixed\d2_u9.npy,True,True,False,text_audio
d2_u10,You betcha!,happy,train,2,10,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt10.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt10.npy,data/processed/MELD_state_embeddings_fixed\d2_u10.npy,True,True,False,text_audio
d2_u11,Is it the Italian guy?,neutral,train,2,11,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt11.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt11.npy,data/processed/MELD_state_embeddings_fixed\d2_u11.npy,True,True,False,text_audio
d2_u12,"Um-mm, yeah right!",happy,train,2,12,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia2_utt12.wav,data\processed\MELD_video_embeddings_arcface\train\dia2_utt12.npy,data/processed/MELD_state_embeddings_fixed\d2_u12.npy,True,True,False,text_audio
d3_u3,He was with her when he wrote this poem.,neutral,train,3,3,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia3_utt3.wav,data\processed\MELD_video_embeddings_arcface\train\dia3_utt3.npy,data/processed/MELD_state_embeddings_fixed\d3_u3.npy,True,True,False,text_audio
d3_u4,"Look,  'My vessel so empty with nothing inside.",neutral,train,3,4,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia3_utt4.wav,data\processed\MELD_video_embeddings_arcface\train\dia3_utt4.npy,data/processed/MELD_state_embeddings_fixed\d3_u4.npy,True,True,False,text_audio
d3_u5,"Now that I've touched you, you seem emptier still.'",neutral,train,3,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia3_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia3_utt5.npy,data/processed/MELD_state_embeddings_fixed\d3_u5.npy,True,True,False,text_audio
d3_u8,"Oh, totally. Oh, God, oh, she seemed so happy too.",sad,train,3,8,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia3_utt8.wav,data\processed\MELD_video_embeddings_arcface\train\dia3_utt8.npy,data/processed/MELD_state_embeddings_fixed\d3_u8.npy,True,True,False,text_audio
d3_u9,Done.,neutral,train,3,9,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia3_utt9.wav,data\processed\MELD_video_embeddings_arcface\train\dia3_utt9.npy,data/processed/MELD_state_embeddings_fixed\d3_u9.npy,True,True,False,text_audio
d4_u1,Hi!,happy,train,4,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt1.npy,data/processed/MELD_state_embeddings_fixed\d4_u1.npy,True,True,False,text_audio
d4_u3,"Ah y'know, this building is on my paper route so I...",neutral,train,4,3,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt3.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt3.npy,data/processed/MELD_state_embeddings_fixed\d4_u3.npy,True,True,False,text_audio
d4_u4,Oh.,neutral,train,4,4,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt4.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt4.npy,data/processed/MELD_state_embeddings_fixed\d4_u4.npy,True,True,False,text_audio
d4_u5,Hi.,neutral,train,4,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt5.npy,data/processed/MELD_state_embeddings_fixed\d4_u5.npy,True,True,False,text_audio
d4_u6,Hi.,neutral,train,4,6,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt6.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt6.npy,data/processed/MELD_state_embeddings_fixed\d4_u6.npy,True,True,False,text_audio
d4_u7,How’d did it go?,neutral,train,4,7,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt7.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt7.npy,data/processed/MELD_state_embeddings_fixed\d4_u7.npy,True,True,False,text_audio
d4_u8,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",happy,train,4,8,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt8.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt8.npy,data/processed/MELD_state_embeddings_fixed\d4_u8.npy,True,True,False,text_audio
d4_u9,I’m so proud of you.,happy,train,4,9,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt9.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt9.npy,data/processed/MELD_state_embeddings_fixed\d4_u9.npy,True,True,False,text_audio
d4_u10,Me too!,happy,train,4,10,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt10.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt10.npy,data/processed/MELD_state_embeddings_fixed\d4_u10.npy,True,True,False,text_audio
d4_u11,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sad,train,4,11,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt11.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt11.npy,data/processed/MELD_state_embeddings_fixed\d4_u11.npy,True,True,False,text_audio
d4_u12,I know.,neutral,train,4,12,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt12.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt12.npy,data/processed/MELD_state_embeddings_fixed\d4_u12.npy,True,True,False,text_audio
d4_u13,Yeah.,neutral,train,4,13,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt13.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt13.npy,data/processed/MELD_state_embeddings_fixed\d4_u13.npy,True,True,False,text_audio
d4_u14,Yeah.,neutral,train,4,14,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia4_utt14.wav,data\processed\MELD_video_embeddings_arcface\train\dia4_utt14.npy,data/processed/MELD_state_embeddings_fixed\d4_u14.npy,True,True,False,text_audio
d5_u0,Ameri-can.,neutral,train,5,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia5_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia5_utt0.npy,data/processed/MELD_state_embeddings_fixed\d5_u0.npy,True,True,False,text_audio
d5_u1,Ameri-ccan.,neutral,train,5,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia5_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia5_utt1.npy,data/processed/MELD_state_embeddings_fixed\d5_u1.npy,True,True,False,text_audio
d5_u2,Ameri-can. Y'know it’s a,neutral,train,5,2,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia5_utt2.wav,data\processed\MELD_video_embeddings_arcface\train\dia5_utt2.npy,data/processed/MELD_state_embeddings_fixed\d5_u2.npy,True,True,False,text_audio
d6_u0,Good job Joe! Well done! Top notch!,happy,train,6,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt0.npy,data/processed/MELD_state_embeddings_fixed\d6_u0.npy,True,True,False,text_audio
d6_u2,"Oh-ho-ho, yeah!",happy,train,6,2,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt2.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt2.npy,data/processed/MELD_state_embeddings_fixed\d6_u2.npy,True,True,False,text_audio
d6_u3,Which part exactly?,neutral,train,6,3,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt3.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt3.npy,data/processed/MELD_state_embeddings_fixed\d6_u3.npy,True,True,False,text_audio
d6_u4,The whole thing! Can we go?,neutral,train,6,4,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt4.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt4.npy,data/processed/MELD_state_embeddings_fixed\d6_u4.npy,True,True,False,text_audio
d6_u5,"Oh no-no-no, give me some specifics.",angry,train,6,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt5.npy,data/processed/MELD_state_embeddings_fixed\d6_u5.npy,True,True,False,text_audio
d6_u6,"I love the specifics, the specifics were the best part!",happy,train,6,6,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt6.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt6.npy,data/processed/MELD_state_embeddings_fixed\d6_u6.npy,True,True,False,text_audio
d6_u7,"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral,train,6,7,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt7.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt7.npy,data/processed/MELD_state_embeddings_fixed\d6_u7.npy,True,True,False,text_audio
d6_u9,You fell asleep!!,angry,train,6,9,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt9.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt9.npy,data/processed/MELD_state_embeddings_fixed\d6_u9.npy,True,True,False,text_audio
d6_u10,There was no kangaroo!,angry,train,6,10,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt10.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt10.npy,data/processed/MELD_state_embeddings_fixed\d6_u10.npy,True,True,False,text_audio
d6_u11,They didn’t take any of my suggestions!,angry,train,6,11,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt11.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt11.npy,data/processed/MELD_state_embeddings_fixed\d6_u11.npy,True,True,False,text_audio
d6_u12,That’s for coming buddy.,neutral,train,6,12,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt12.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt12.npy,data/processed/MELD_state_embeddings_fixed\d6_u12.npy,True,True,False,text_audio
d6_u13,I’ll see you later.,neutral,train,6,13,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt13.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt13.npy,data/processed/MELD_state_embeddings_fixed\d6_u13.npy,True,True,False,text_audio
d6_u14,Don’t go!,sad,train,6,14,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt14.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt14.npy,data/processed/MELD_state_embeddings_fixed\d6_u14.npy,True,True,False,text_audio
d6_u15,I’m sorry.,sad,train,6,15,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt15.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt15.npy,data/processed/MELD_state_embeddings_fixed\d6_u15.npy,True,True,False,text_audio
d6_u16,I’m so sorry!,sad,train,6,16,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt16.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt16.npy,data/processed/MELD_state_embeddings_fixed\d6_u16.npy,True,True,False,text_audio
d6_u18,This guy fell asleep!,angry,train,6,18,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt18.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt18.npy,data/processed/MELD_state_embeddings_fixed\d6_u18.npy,True,True,False,text_audio
d6_u19,He fell asleep too!,angry,train,6,19,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt19.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt19.npy,data/processed/MELD_state_embeddings_fixed\d6_u19.npy,True,True,False,text_audio
d6_u20,Be mad at him!,angry,train,6,20,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt20.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt20.npy,data/processed/MELD_state_embeddings_fixed\d6_u20.npy,True,True,False,text_audio
d6_u21,"Or, call an ambulance.",angry,train,6,21,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia6_utt21.wav,data\processed\MELD_video_embeddings_arcface\train\dia6_utt21.npy,data/processed/MELD_state_embeddings_fixed\d6_u21.npy,True,True,False,text_audio
d7_u0,"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral,train,7,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia7_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia7_utt0.npy,data/processed/MELD_state_embeddings_fixed\d7_u0.npy,True,True,False,text_audio
d7_u1,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",angry,train,7,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia7_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia7_utt1.npy,data/processed/MELD_state_embeddings_fixed\d7_u1.npy,True,True,False,text_audio
d8_u0,"Yes, and it is my dying wish to have that ring.",neutral,train,8,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia8_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia8_utt0.npy,data/processed/MELD_state_embeddings_fixed\d8_u0.npy,True,True,False,text_audio
d8_u1,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral,train,8,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia8_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia8_utt1.npy,data/processed/MELD_state_embeddings_fixed\d8_u1.npy,True,True,False,text_audio
d8_u2,"Okay, that’s enough honey!",neutral,train,8,2,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia8_utt2.wav,data\processed\MELD_video_embeddings_arcface\train\dia8_utt2.npy,data/processed/MELD_state_embeddings_fixed\d8_u2.npy,True,True,False,text_audio
d8_u3,I don’t know.  Let me see the ring.,neutral,train,8,3,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia8_utt3.wav,data\processed\MELD_video_embeddings_arcface\train\dia8_utt3.npy,data/processed/MELD_state_embeddings_fixed\d8_u3.npy,True,True,False,text_audio
d8_u4,"Great! Okay, here.",happy,train,8,4,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia8_utt4.wav,data\processed\MELD_video_embeddings_arcface\train\dia8_utt4.npy,data/processed/MELD_state_embeddings_fixed\d8_u4.npy,True,True,False,text_audio
d8_u5,All right.,neutral,train,8,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia8_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia8_utt5.npy,data/processed/MELD_state_embeddings_fixed\d8_u5.npy,True,True,False,text_audio
d8_u6,Thank you. Thank you. Thank you!  And,happy,train,8,6,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia8_utt6.wav,data\processed\MELD_video_embeddings_arcface\train\dia8_utt6.npy,data/processed/MELD_state_embeddings_fixed\d8_u6.npy,True,True,False,text_audio
d9_u0,What've you been up to?,neutral,train,9,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt0.npy,data/processed/MELD_state_embeddings_fixed\d9_u0.npy,True,True,False,text_audio
d9_u1,"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral,train,9,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt1.npy,data/processed/MELD_state_embeddings_fixed\d9_u1.npy,True,True,False,text_audio
d9_u2,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral,train,9,2,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt2.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt2.npy,data/processed/MELD_state_embeddings_fixed\d9_u2.npy,True,True,False,text_audio
d9_u3,Can you hold on a moment? I have another call.  I love her.,happy,train,9,3,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt3.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt3.npy,data/processed/MELD_state_embeddings_fixed\d9_u3.npy,True,True,False,text_audio
d9_u4,I know.,neutral,train,9,4,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt4.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt4.npy,data/processed/MELD_state_embeddings_fixed\d9_u4.npy,True,True,False,text_audio
d9_u5,I'm back.,neutral,train,9,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt5.npy,data/processed/MELD_state_embeddings_fixed\d9_u5.npy,True,True,False,text_audio
d9_u6,"So, are we gonna get together or what?",neutral,train,9,6,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt6.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt6.npy,data/processed/MELD_state_embeddings_fixed\d9_u6.npy,True,True,False,text_audio
d9_u7,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral,train,9,7,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt7.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt7.npy,data/processed/MELD_state_embeddings_fixed\d9_u7.npy,True,True,False,text_audio
d9_u8,"Great, I'll see you then.",neutral,train,9,8,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt8.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt8.npy,data/processed/MELD_state_embeddings_fixed\d9_u8.npy,True,True,False,text_audio
d9_u9,Ok.  Ok. Having a phone has finally paid off.,happy,train,9,9,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt9.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt9.npy,data/processed/MELD_state_embeddings_fixed\d9_u9.npy,True,True,False,text_audio
d9_u10,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral,train,9,10,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt10.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt10.npy,data/processed/MELD_state_embeddings_fixed\d9_u10.npy,True,True,False,text_audio
d9_u11,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",neutral,train,9,11,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt11.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt11.npy,data/processed/MELD_state_embeddings_fixed\d9_u11.npy,True,True,False,text_audio
d9_u13,"Ok, pure evil , horny and alone . I've done this",angry,train,9,13,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia9_utt13.wav,data\processed\MELD_video_embeddings_arcface\train\dia9_utt13.npy,data/processed/MELD_state_embeddings_fixed\d9_u13.npy,True,True,False,text_audio
d10_u0,Nobody!,angry,train,10,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia10_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia10_utt0.npy,data/processed/MELD_state_embeddings_fixed\d10_u0.npy,True,True,False,text_audio
d10_u1,Nobody respects the bucket!,angry,train,10,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia10_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia10_utt1.npy,data/processed/MELD_state_embeddings_fixed\d10_u1.npy,True,True,False,text_audio
d10_u2,You wouldn't believe what people put in here!,angry,train,10,2,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia10_utt2.wav,data\processed\MELD_video_embeddings_arcface\train\dia10_utt2.npy,data/processed/MELD_state_embeddings_fixed\d10_u2.npy,True,True,False,text_audio
d10_u3,Look!,angry,train,10,3,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia10_utt3.wav,data\processed\MELD_video_embeddings_arcface\train\dia10_utt3.npy,data/processed/MELD_state_embeddings_fixed\d10_u3.npy,True,True,False,text_audio
d10_u4,"Okay, does this look like a garbage can to you?",angry,train,10,4,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia10_utt4.wav,data\processed\MELD_video_embeddings_arcface\train\dia10_utt4.npy,data/processed/MELD_state_embeddings_fixed\d10_u4.npy,True,True,False,text_audio
d10_u5,No.,neutral,train,10,5,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia10_utt5.wav,data\processed\MELD_video_embeddings_arcface\train\dia10_utt5.npy,data/processed/MELD_state_embeddings_fixed\d10_u5.npy,True,True,False,text_audio
d11_u0,This is my wedding.,neutral,train,11,0,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia11_utt0.wav,data\processed\MELD_video_embeddings_arcface\train\dia11_utt0.npy,data/processed/MELD_state_embeddings_fixed\d11_u0.npy,True,True,False,text_audio
d11_u1,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",angry,train,11,1,D:\mer-jit-llm\data\processed\MELD_audio\train_wav\dia11_utt1.wav,data\processed\MELD_video_embeddings_arcface\train\dia11_utt1.npy,data/processed/MELD_state_embeddings_fixed\d11_u1.npy,True,True,False,text_audio
